AGEGRP,LFACT,YRIM,IMMSTAT
13,88,2008,88
11,3,2005,2
13,14,9999,1
16,13,9999,1
18,13,9999,1
16,13,9999,1
16,14,9999,1
16,13,9,2
11,1,9999,1
12,1,2006,2
16,13,9999,1
13,1,9999,1
14,1,2004,2
18,1,9999,1
3,99,9999,1
6,14,9999,1
6,1,9999,1
14,1,2008,2
5,99,9999,1
19,13,9999,1
10,1,2018,2
10,1,9999,1
17,1,9999,1
1,99,9999,1
9,1,2004,2
1,99,9999,1
11,14,2016,2
1,99,9999,1
15,1,9999,1
15,1,7,2
8,1,9999,1
12,1,9999,1
14,1,2017,2
14,1,9999,1
19,1,9999,1
1,99,9999,1
4,99,9999,1
4,99,9999,1
12,1,9999,1
14,1,2004,2
1,99,9999,1
9,13,9999,1
4,99,9999,1
12,1,9999,1
17,11,9999,1
11,1,9999,1
3,99,9999,1
11,1,9999,1
15,1,9999,1
12,1,2007,2
11,2,9999,1
20,13,9999,1
16,1,6,2
1,99,9999,1
21,13,9999,1
6,1,9999,1
12,13,9999,3
5,99,2014,2
7,1,9999,1
11,1,9999,1
1,99,9999,1
16,14,9999,1
2,99,9999,1
6,1,9999,1
10,1,9999,1
11,1,2019,2
19,13,8,2
11,1,9999,1
16,1,9999,1
17,14,9999,1
14,13,9999,1
9,1,9999,3
2,99,9999,1
5,99,9999,1
15,13,5,2
3,99,9999,1
10,1,9999,1
12,1,2014,2
10,1,2015,2
9,14,9999,3
11,1,9999,1
12,1,9999,1
12,14,2018,2
1,99,9999,1
9,1,9999,1
9,1,9999,1
17,1,9999,1
12,1,9999,1
8,10,9999,1
15,1,9999,1
17,13,9999,1
3,99,9999,1
11,1,9999,1
15,1,6,2
14,9,9999,1
15,1,8,2
15,12,9999,1
20,13,5,2
17,13,9999,1
15,1,9999,1
19,13,9999,1
13,1,9999,1
15,3,9,2
16,13,9999,1
20,13,2001,2
6,1,9999,1
5,99,9999,3
16,13,9999,1
15,1,9999,1
10,1,9999,1
14,1,9999,1
17,13,9999,1
11,4,9999,1
3,99,9999,1
8,14,9999,3
17,13,9999,1
4,99,9999,1
1,99,9999,1
7,2,9999,1
13,11,9999,1
7,1,9999,1
5,99,9999,1
14,1,5,2
8,1,9999,1
5,99,9999,1
13,1,9999,1
15,1,9999,1
2,99,9999,1
2,99,9999,1
20,13,5,2
19,13,4,2
13,1,2010,2
15,1,9999,1
13,1,2010,2
5,99,9999,1
3,99,9999,1
13,14,2006,2
7,11,9999,1
11,14,9999,1
13,1,9999,1
20,13,1,2
15,1,9999,1
12,1,9999,1
14,1,9999,1
7,1,9999,1
10,1,2002,2
4,99,9999,1
12,1,9999,1
18,14,9999,1
2,99,9999,1
11,1,9999,1
15,1,9,2
15,1,9999,1
17,13,8,2
11,11,9999,1
12,1,9999,1
17,1,9999,1
11,1,9999,1
16,12,9999,1
8,1,9999,1
1,99,9999,1
13,1,9999,3
11,1,9999,1
10,14,9999,1
16,1,2006,2
20,13,3,2
18,1,9999,1
6,14,9999,1
13,14,9999,1
18,13,7,2
11,1,9999,1
9,1,9999,1
16,1,9999,1
19,13,9999,1
3,99,9999,1
11,1,9999,1
17,5,9,2
20,13,4,2
1,99,9999,1
12,9,9999,1
5,99,9999,1
19,13,2010,2
6,1,9999,1
2,99,9999,1
6,1,9999,1
16,1,9999,1
12,1,9999,1
10,13,9999,1
11,1,1999,2
9,4,9999,1
2,99,9999,1
13,1,9999,3
5,99,9999,1
10,13,2017,2
3,99,9999,1
11,1,2020,2
14,1,9999,1
13,1,9999,1
12,1,9999,1
11,1,9999,1
17,11,9999,1
1,99,9999,1
1,99,9999,1
4,99,9999,1
17,13,5,2
13,1,1996,2
17,13,9999,1
20,13,9999,1
15,1,9999,1
14,13,9999,1
11,1,2014,2
3,99,2018,2
11,11,2016,2
10,1,9999,1
18,14,5,2
19,13,9999,1
17,13,9999,1
9,13,9999,1
15,1,9,2
6,14,9999,1
16,1,1995,2
12,1,9999,1
14,1,9999,1
8,1,9999,1
17,1,8,2
